NAME,INVESTOR TYPE,PREFERED STARTUP STAGES,FOCUS INDUSTRIES,FOCUS SECTOR,SERVICE AREAS,INVESTMENT RANGE,LOCATION
Media Investments,Corporate VC,"Scaling, Growth, Pre-IPO","AdTech, SaaS, Online Businesses","Advertising Technology, Subscription Businesses","SaaS, Digital Platforms",₹8.3 Cr – ₹149.4 Cr INR,"London, United Kingdom"
Octava,Family Office,"Early Traction, Scaling","Fintech, AI","Financial Software, AI / ML","SaaS, Fintech Platforms",₹4.15 Cr – ₹16.6 Cr INR,Singapore
Akhilesh Chandra,Angel,"Idea or Patent, Prototype, Early Traction, Scaling, Growth","AI, Gaming, Web3, SaaS, Entertainment, Fintech, HealthTech","Esports / Gaming, Web3 Platforms, SaaS Tools, Digital Health","SaaS, Gaming, Fintech, Web3",₹4.15 L – ₹41.5 L INR,USA
CSGo Hub (Crypto Serumpun Go Hub),Incubator / Accelerator,"Prototype, Early Traction, Scaling, Growth, Pre-IPO","Web3, AI, Gaming, Blockchain","GameFi, DeFi, DePin, RWA, L0/L2","Incubation, Web3 Development",₹8.3 L – ₹2.49 Cr INR,South East Asia
NOW Venture Studio,Startup / Venture Studio,"Idea or Patent, Prototype","Sustainability, ClimateTech, DeepTech","ClimateTech / CleanTech, DeepTech","Venture Studio, DeepTech Product Development",₹20.75 L – ₹2.075 Cr INR,"Bengaluru, Karnataka"
Amit Gogia,Angel,"Early Traction, Scaling","Consumer, Healthcare, EdTech, SaaS","Digital Health, EdTech, Consumer SaaS","D2C, SaaS, Consumer Platforms",₹8.3 L – ₹20.75 L INR,India
Startup Sherpas,Incubator / Accelerator,"Prototype, Early Traction, Scaling","Consumer, D2C","Consumer, Retail Tech","D2C, Consumer Platforms, Incubation",₹41.5 L INR,"Gurugram, Haryana"
Elevar Equity,Venture Capital,"Idea or Patent, Prototype, Early Traction, Scaling, Growth","Financial Inclusion, MSME Support, Low-income Communities","Fintech for MSMEs, Social Impact, Small Business Tools","SaaS, Financial Services, Social Impact Ventures",₹8.3 Cr – ₹83 Cr INR,"Bengaluru, Karnataka"
AngelSpark,Angel,"Idea or Patent, Prototype, Early Traction, Scaling","Fintech, IoT, Web3, SaaS, F&B","Developer Tools, Open Source, ISP","SaaS, Marketplace, Consumer Platforms",₹8.3 L – ₹8.3 L INR,"Dubai, UAE"
CobuildX,Startup / Venture Studio,"Idea or Patent, Prototype, Early Traction, Scaling, Growth, Pre-IPO","Software, Web3, Fintech, SaaS, Healthcare, Retail, Enterprise / B2B","Enterprise / B2B SaaS, HealthTech, Retail Tech","SaaS, Fintech, Startup Studio",₹12.45 L – ₹20.75 L INR,"Austin, Texas, USA"
Harriet Ventures,Private Equity / Growth,"Early Traction, Scaling, Growth, Pre-IPO","Fintech, SaaS, AI, EdTech, PropTech, HealthTech, Gaming, BioTech","B2C / B2B Tech, Social Impact, SMB Platforms","SaaS, Fintech, Consumer Goods",₹4.15 Cr – ₹415 Cr INR,"St. Petersburg, Florida, USA"
Travel Capitalist Ventures,Venture Capital,"Early Traction, Scaling, Growth, Pre-IPO","Travel, TravelTech, Fintech","Travel Payments, Hospitality / Real Estate, Travel Platforms",B2B / B2C Travel Platforms,₹4.15 Cr – ₹41.5 Cr INR,"Doha, Qatar"
